ST_CASE,VEH_NO,PHARM_EV,PCARGTYP,PSP_USE,PVEH_SEV,PDEATHS
170899,8,14,0,0,8,0
170910,2,38,0,0,8,0
170915,2,30,0,0,8,0
170920,2,14,0,0,8,0
170920,3,14,0,0,8,0
170920,4,14,0,0,8,0
170920,5,14,0,0,8,0
170920,10,14,0,0,8,0
170920,11,14,0,0,8,0
170955,2,14,0,0,8,0
170959,3,12,0,0,8,0
180023,3,12,1,0,6,1
180044,2,8,0,0,6,0
180181,2,14,0,0,6,0
180300,3,12,0,0,6,0
180333,2,14,1,0,6,0
180368,2,8,0,0,6,0
180368,3,8,0,0,2,0
180368,4,8,0,0,2,0
180512,2,33,0,0,6,0
180512,3,33,0,0,6,0
180512,4,33,0,0,6,0
180550,2,14,1,0,6,0
180619,3,12,0,0,6,0
180669,2,14,0,0,6,0
190002,2,53,0,0,2,0
190002,3,53,0,0,2,0
190117,2,14,0,0,6,0
190117,3,14,0,0,2,0
190131,1,14,1,0,6,0
190132,2,14,1,0,6,0
190168,2,14,0,0,6,0
190168,3,14,0,0,2,0
190206,2,14,0,0,2,0
190214,2,33,0,0,6,0
190234,3,12,0,0,4,0
190244,2,14,1,0,2,0
200052,2,14,0,0,6,0
200127,2,33,0,0,6,0
200215,2,33,0,0,2,0
200215,3,33,0,0,2,0
200238,2,14,1,0,6,0
200274,2,14,8,0,6,0
200301,2,14,0,0,6,0
210002,2,42,0,0,2,0
210049,2,14,0,0,6,0
210072,2,8,97,0,2,0
210280,3,12,0,0,4,0
210294,2,14,0,0,6,1
210295,3,12,0,0,6,0
210377,2,35,0,0,2,0
210377,3,35,0,0,2,0
210377,4,35,0,0,2,0
210503,3,1,0,0,2,0
210513,2,59,0,0,6,1
210520,3,12,0,0,4,0
210520,4,12,0,0,6,0
210520,5,12,0,0,6,0
210520,6,12,0,0,2,0
210533,2,32,0,0,2,0
210556,3,12,0,0,6,0
210565,2,14,1,0,2,0
210609,2,14,0,0,6,0
210630,2,8,0,0,2,0
210688,2,14,1,0,4,0
210695,2,14,1,0,4,0
220132,2,14,10,0,4,0
220150,3,1,0,0,2,0
220219,2,14,0,0,6,0
220295,2,35,0,0,2,0
220298,2,59,0,0,4,0
220340,2,32,0,0,6,0
220406,2,18,0,0,4,0
220411,2,14,0,0,6,0
220411,3,14,0,0,4,0
220469,2,14,8,0,2,0
220469,3,14,8,0,2,0
220478,2,14,0,0,2,0
220478,3,14,0,0,2,0
220493,2,14,0,0,6,0
220560,2,8,0,0,6,0
220560,3,8,0,0,4,0
220667,2,33,97,0,2,0
220684,2,38,0,0,2,0
220684,3,38,0,0,4,0
230008,2,14,0,0,6,0
230093,1,14,0,0,2,0
230099,2,14,0,0,6,0
230118,1,8,0,0,4,0
240026,2,14,4,0,4,0
240028,2,8,0,0,6,0
240028,3,8,0,0,4,0
240028,4,8,0,0,4,0
240036,2,8,0,0,4,0
240036,3,8,0,0,6,0
240083,2,14,0,0,6,0
240091,2,14,96,0,4,0
240134,3,12,0,0,4,0
240134,4,12,0,0,4,0
240134,5,12,0,0,4,0
240134,6,12,0,0,4,0
240156,2,14,97,0,4,0
240178,2,14,4,0,4,0
240202,3,12,98,0,6,0
240226,3,12,1,0,2,0
240226,4,12,1,0,2,0
240315,2,38,0,0,2,0
240366,2,17,0,0,6,0
240366,3,17,0,0,2,0
240367,3,12,0,0,6,0
240367,4,12,0,0,2,0
240423,2,39,0,0,6,0
240423,3,39,0,0,6,0
240447,2,8,0,5,6,0
240475,4,12,0,0,6,0
250067,2,14,96,0,9,0
250110,2,14,0,0,6,0
250150,4,12,0,0,4,0
250150,5,12,0,0,4,0
250168,2,8,0,0,6,0
250222,2,8,0,0,8,0
250233,2,30,0,0,6,0
250235,2,14,99,0,8,0
250240,2,33,0,0,6,0
250260,2,8,0,0,4,0
250261,2,14,0,0,6,0
250261,3,14,0,0,6,0
250291,2,33,0,0,6,0
250291,3,33,0,0,6,0
250296,2,14,0,0,6,0
250296,3,14,0,0,6,0
260015,2,53,0,0,6,0
260046,2,8,0,0,6,0
260060,2,14,1,0,2,0
260125,3,12,0,0,6,0
260125,4,12,0,0,2,0
260125,5,12,0,0,2,0
260155,2,14,0,0,6,0
260243,2,14,98,0,2,0
260244,2,14,0,0,6,1
260306,3,12,0,0,2,0
260315,2,8,0,0,6,0
260330,3,12,0,0,6,0
260362,2,8,0,0,4,0
260391,3,12,0,0,2,0
260391,4,12,0,0,2,0
260395,2,30,0,0,2,0
260405,3,12,0,0,6,0
260521,2,43,0,0,8,0
260521,3,43,0,0,8,0
260564,2,14,0,0,6,0
260564,3,14,0,0,2,0
260574,2,8,0,0,2,0
260681,1,14,0,0,6,0
260681,3,14,3,0,6,0
260717,2,8,3,0,6,0
260754,3,12,0,0,4,0
260754,4,12,0,0,6,0
260754,5,12,0,0,6,0
260754,6,12,0,0,2,0
260780,2,33,0,0,4,0
260788,2,45,97,0,6,0
260793,2,14,0,0,6,1
260820,2,45,4,0,2,0
260838,2,14,0,0,2,0
260845,2,8,0,0,4,0
260886,3,12,0,0,6,0
260895,1,12,0,0,6,1
270013,2,45,4,0,4,0
270176,1,14,0,0,2,0
270232,3,12,0,0,2,0
280043,2,14,1,0,6,0
280067,2,51,0,0,2,0
280176,3,12,0,0,2,0
280176,4,12,0,0,6,0
280525,2,53,0,0,2,0
290014,1,8,0,0,6,0
290015,3,12,96,0,6,0
290041,2,14,0,0,4,0
290061,3,12,0,0,6,0
290061,4,12,0,0,2,0
290061,5,12,0,0,6,0
290061,6,12,0,0,2,0
290169,1,14,1,0,2,0
290220,2,14,0,0,6,0
290243,2,14,0,0,6,0
290243,3,14,0,0,4,0
290306,2,42,0,0,4,0
290475,3,12,0,0,2,0
290475,4,12,0,0,2,0
290475,5,12,0,0,2,0
290549,2,53,97,0,6,0
290685,2,38,98,0,4,0
290685,3,38,97,0,9,0
290750,2,14,1,0,2,0
290782,2,14,0,0,6,0
290782,3,14,0,0,9,0
300147,2,14,0,0,6,0
300165,2,11,3,0,4,0
310064,3,12,0,0,4,0
310083,2,38,5,0,2,0
310173,2,30,0,0,2,0
310173,3,30,0,0,2,0
310187,1,14,1,0,6,0
310216,2,14,97,0,2,0
320043,2,8,3,0,2,0
320067,3,12,96,0,2,0
320185,2,14,0,0,2,0
320189,2,14,7,0,4,0
320218,2,14,3,0,4,0
320240,2,14,0,0,2,0
320270,3,12,0,0,4,0
320296,2,39,0,0,4,0
320296,3,39,0,0,2,0
320296,4,39,0,0,2,0
320296,5,39,0,0,2,0
320296,6,39,0,0,2,0
320296,7,39,0,0,2,0
340004,3,12,0,0,2,0
340005,2,14,1,0,4,0
340009,3,14,0,0,8,0
340009,4,14,0,0,8,0
340044,1,14,1,0,8,0
340070,2,14,0,0,6,0
340076,2,14,1,0,6,0
340090,2,1,0,0,8,0
340097,2,14,99,0,8,0
340115,2,45,96,0,8,0
340123,2,14,0,0,8,0
340123,3,14,0,0,8,0
340176,2,8,0,0,9,0
340177,2,14,1,0,8,0
340181,2,35,0,0,6,0
340181,3,35,0,0,6,0
340181,4,35,0,0,6,0
340181,5,35,0,0,6,0
340286,2,33,0,0,8,0
340307,2,14,96,0,8,0
340323,2,24,1,0,8,0
340332,2,14,4,0,6,0
340382,2,14,97,13,6,0
340382,3,14,0,0,6,0
340393,3,12,1,0,8,0
340394,1,14,0,0,8,0
340447,2,14,0,0,6,0
340455,2,14,1,0,8,0
340476,2,14,0,0,8,0
340516,2,33,0,0,2,0
340516,3,33,0,0,2,0
340516,4,33,0,0,2,0
340520,2,8,0,5,8,0
340531,2,8,0,0,8,0
360036,2,14,0,0,8,0
360073,1,14,1,0,8,0
360094,2,14,0,0,8,0
360094,3,14,22,3,8,0
360095,2,8,0,0,8,0
360109,1,14,4,0,8,0
360138,2,14,0,0,8,0
360175,2,33,0,0,8,0
360208,3,12,0,0,8,0
360208,4,12,0,0,8,0
360217,2,59,0,0,9,0
360270,3,12,0,0,8,0
360312,2,34,0,0,8,0
360313,2,14,0,0,8,0
360313,3,14,0,0,8,0
360313,4,14,0,0,8,0
360313,5,14,0,0,8,0
360313,6,14,0,0,8,0
360313,7,14,0,0,8,0
360313,8,14,0,0,8,0
360313,9,14,0,0,8,0
360313,10,14,0,0,8,0
360313,11,14,0,0,8,0
360316,2,14,0,0,8,0
360356,2,35,0,0,8,0
360389,2,14,0,0,8,0
360391,3,12,0,0,8,0
360395,2,19,0,1,8,0
360432,2,14,96,0,8,0
360454,2,40,0,0,8,0
360492,2,14,0,0,8,0
360507,3,12,0,0,8,0
360521,2,14,0,0,6,0
360521,3,14,0,0,8,0
360521,4,14,0,0,6,0
360528,2,14,0,0,8,0
360528,3,14,0,0,8,0
360528,4,14,0,0,8,0
360540,2,42,0,0,8,0
360540,3,42,0,0,8,0
360562,2,14,0,0,6,2
360649,3,12,0,0,8,0
360649,4,12,0,0,8,0
360839,2,8,0,0,8,0
360848,2,42,0,0,8,0
360883,3,12,0,0,8,0
360883,5,12,0,0,8,0
360890,3,12,0,0,8,0
360916,2,33,0,0,8,0
360931,4,12,0,0,8,0
360932,2,14,4,0,8,0
